,Average Cap Rates,Average Sale Prices,NOI,$/Square Foot,Building SF,Lot Size,Lease Term,Escalations,Stock Symbol,S&P,Moodys,Trend1Y,Trend2Y,QSR_links
0,5.94%,"$1,534,323 ","$91,139 ",$450 - $625,"2,500 - 3,500","2,500 - 3,500",20 Years,Varies,N/A,N/A,N/A,6.41%,6.05%,https://www.netleaseadvisor.com/tenant/arbys/
1,6.12%,"$2,413,908 ","$147,731 ",$650 - $700,"3,500 - 3,800","3,500 - 3,800",15 Years,Varies,BOJA,N/A,N/A,6.19%,6.13%,https://www.netleaseadvisor.com/tenant/bojangles/
2,5.62%,"$1,897,695 ","$163,650 ",$520 ,"3,500","3,500",10 - 20 Years,7.5% Every 5 Years,QSR,B+,N/A,6.13%,5.87%,https://www.netleaseadvisor.com/tenant/burger-king/
3,6.37%,"$1,237,250 ","$78,813 ",$450 ,"2,400 - 3,400","2,400 - 3,400",15 Years,Varies,N/A,N/A,N/A,6.87%,7.24%,https://www.netleaseadvisor.com/tenant/captain-ds/
4,4.41%,"$2,837,917 ","$125,152 ",$680 ,"4,500","4,500",20 Years,10% Every 5 Years & Options,N/A,N/A,N/A,4.18%,4.53%,https://www.netleaseadvisor.com/tenant/chick-fil-a/
5,4.85%,"$1,884,700 ","$91,408 ",$550 - $950,"2,000 - 3,500","2,000 - 3,500",10 - 15 Year,7.5 - 12% Every 5 Years,CMG,N/A,N/A,4.87%,5.37%,https://www.netleaseadvisor.com/tenant/chipotle/
6,6.20%,"$1,786,667 ","$110,773 ","$500 - $1,000","1,700 -3,500","1,700 -3,500",20 Years,10% Every 5 Years or 1.5% Annually,N/A,N/A,N/A,6.60%,6.91%,https://www.netleaseadvisor.com/tenant/churchs-chicken/
7,6.13%,"$1,720,433 ","$105,463 ",$600 ,"2,800","2,800",20 Years,1.5-2% Annually or 8-10% Every 5 Years,BRK.A,AA,Aa2,6.36%,5.92%,https://www.netleaseadvisor.com/tenant/dairy-queen/
8,5.52%,"$1,699,312 ","$92,146 ",$785 ,"2,200","2,200",15 - 20 Years,8-10% Every 5 Years,DNKN,N/A,N/A,5.58%,5.37%,https://www.netleaseadvisor.com/tenant/dunkin-donuts/
9,5.85%,"$1,866,731 ","$109,204 ",$400 - $600,"2,5000 - 3,500","2,5000 - 3,500",15 - 20 Years,5 - 10% Every 5 Years,N/A,B-,N/A,5.98%,6.15%,https://www.netleaseadvisor.com/tenant/hardees/
10,5.20%,"$2,538,257 ","$131,989 ",$840 ,"2,500","2,500",20 Years,5 - 10% Every 5 Years,JACK,N/A,N/A,5.63%,5.12%,https://www.netleaseadvisor.com/tenant/jack-in-the-box/
11,6.04%,"$1,197,841 ","$72,350 ",$400 - $600,"2,000 - 3,000","2,000 - 3,000",15 Years,Varies,YUM,BB,Ba3,5.98%,6.75%,https://www.netleaseadvisor.com/tenant/kfc/
12,4.20%,"$1,885,007 ","$79,170 ",$490 ,"4,500","4,500",20 Year,10% Every 5 Years,MCD,BBB+,Baa1,4.54%,4.37%,https://www.netleaseadvisor.com/tenant/mcdonalds/
13,5.07%,"$2,964,491 ","$150,300 ",$600 - $750,"4,000 - 5,000","4,000 - 5,000",15 Years,Varies,PNRA,N/A,N/A,5.29%,5.01%,https://www.netleaseadvisor.com/tenant/panera-bread/
14,5.67%,"$3,328,757 ","$188,741 ",$830 ,"4,000","4,000",15 - 20 Years,10% Every 5 Years,N/A,N/A,N/A,5.79%,5.67%,https://www.netleaseadvisor.com/tenant/pdq/
15,6.30%,"$1,077,040 ","$67,854 ",$375 - $925,"1,150 - 2,900","1,150 - 2,900",10 - 15 Years,Varies,YUM,BB,Ba3,6.48%,6.65%,https://www.netleaseadvisor.com/tenant/pizza-hut/
16,4.87%,"$2,786,561 ","$135,706 ","$750 - $1,000","2,800 - 3,700","2,800 - 3,700",15 - 20 Years,Varies,N/A,N/A,N/A,4.93%,4.87%,https://www.netleaseadvisor.com/tenant/pollo-tropical/
17,5.44%,"$2,089,169 ","$113,651 ","$700 - $1,000","2,000 - 3,000","2,000 - 3,000",15 - 20 Years,Varies,QSR,B+,N/A,5.33%,5.51%,https://www.netleaseadvisor.com/tenant/popeyes/
18,5.66%,"$4,194,355 ","$237,400 ","$1,200 - $1,700","2,500 - 3,500","2,500 - 3,500",15 - 20 Years,5 - 10% Every 5 Years,N/A,N/A,N/A,5.88%,5.36%,https://www.netleaseadvisor.com/tenant/raising-canes/
19,6.15%,"$1,521,055 ","$93,545 ","$1,014 ","1,500","1,500",15 - 20 Years,Varies,SONC,N/A,N/A,6.50%,6.16%,https://www.netleaseadvisor.com/tenant/sonic/
20,4.92%,"$2,282,377 ","$112,293 ","$1,100 - $1,500","1,500 - 2,000","1,500 - 2,000",10 Years,10% Every 5 Years,SBUX,A-,A3,5.23%,4.97%,https://www.netleaseadvisor.com/tenant/starbucks-coffee/
21,6.20%,"$2,540,500 ","$157,511 ",$675 ,"3,700","3,700",20 Years,10% Every 5 Years,BH,B-,B3,6.13%,6.40%,https://www.netleaseadvisor.com/tenant/steak-n-shake/
22,5.17%,"$2,201,996 ","$113,843 ","$1,000- $1,200","1,800 - 2,200","1,800 - 2,200",20 Years,Varies,YUM,BB,Ba3,5.54%,5.42%,https://www.netleaseadvisor.com/tenant/taco-bell/
23,5.33%,"$2,211,683 ","$117,883 ",$735 ,"3,000","3,000",20 Years,5 - 10% Every 5 Years,WEN,B,B2,5.74%,5.63%,https://www.netleaseadvisor.com/tenant/wendys/
24,6.46%,"$3,043,912 ","$196,637 ",$750- $875,"3,000 - 4,000","3,000 - 4,000",15 Years,Varies,N/A,N/A,N/A,6.61%,6.35%,https://www.netleaseadvisor.com/tenant/zaxbys/
