,Flower_Specie,Type,Colour,Delivery_Week,Link_to_Picture,Link_to_detail_page
0,Fuchsia x hybrida Opprett,Annabel,Hvit/hvit,7 og 10,http://g3.no/wp-content/uploads/Annabell_fuchsia_hendriks_young_plants.jpg,http://g3.no/sorter/annabel/
1,Fuchsia x hybrida Opprett,Bella – Evita,R,7 og 10,http://g3.no/wp-content/uploads/bella_fuchsia_evita_hendriks_youngplants.jpg,http://g3.no/sorter/evita/
2,Fuchsia x hybrida Opprett,Bella – Mariska,Rosa/Lilla,7 og 10,http://g3.no/wp-content/uploads/bella_fuchsia_mariska_3.jpg,http://g3.no/sorter/mariska/
3,Fuchsia x hybrida Opprett,Bella – Nikita,Rosa/Lys,7 og 10,http://g3.no/wp-content/uploads/bella-fuchsia-nikita.jpg,http://g3.no/sorter/bella-nikita/
4,Fuchsia x hybrida Opprett,Bella – Sacha,R,7 og 10,http://g3.no/wp-content/uploads/bella-fuchsia-sacha.jpg,http://g3.no/sorter/bella-sacha/
5,Fuchsia x hybrida Opprett,Bella – Sarah,Rosa/lys,7 og 10,http://g3.no/wp-content/uploads/bella_fuchsia_sarah_6JPG.jpg,http://g3.no/sorter/sarah/
6,Fuchsia x hybrida Opprett,Bella – Soila,Rosa/M,7 og 10,http://g3.no/wp-content/uploads/bella_fuchsia_soila1_hendriks_youngplants.jpg,http://g3.no/sorter/soila/
7,Fuchsia x hybrida Opprett,Bella – Susanna,Rosa/Lys,7 og 10,http://g3.no/wp-content/uploads/bella_fuchsia_susanna3.jpg,http://g3.no/sorter/susanna/
8,Fuchsia x hybrida Opprett,Bella – Vera,R,7 og 10,http://g3.no/wp-content/uploads/bella_fuchsia_vera_3.jpg,http://g3.no/sorter/vera/
9,Fuchsia x hybrida Opprett,Bella – Miranda,Lys,7 og 10,http://g3.no/wp-content/uploads/bella-fuchsia-miranda.jpg,http://g3.no/sorter/bella-miranda/
