,Company_Name,Mobile,Website_URL,City,Category
0,Boldica Sports,"

03484997851, 0523304383 
",https://www.boldicasports.com,Sialkot,Exporters
1,Boldica Sports,"

03484997851, 0523304383 
",https://www.boldicasports.com,Sialkot,Exporters
2,Manufacturer & Exporter of Surgical Instruments,"

0332-8472784, 0336-555-2020 
",https://www.facebook.com/timesmedicalofficial/,Sialkot,Exporters
3,Deerborn Industries,"

923006151416, 923006151416 
",https://www.dbind.us,Sialkot,Exporters
4,Universal Freight Systems (Pvt) Ltd,"

+92 305 893 8667, +92 334 187 3340 
",https://www.ufs.com.pk,Islamabad,Exporters
5,Al Almas Corporation,"

, +922135121206 
",,Karachi,Exporters
6,SumRaf International Pvt Ltd,"

+92 321 4281518, +92 321 4281518 
",http://www.saaltee.com,Lahore,Exporters
7,dura gear international,"

923006279180, 923006279180 
",https://www.duragearintl.com,Sialkot,Exporters
8,Asif Brothers Corporation,"

0333-7750710, 0826-612490 
",,Chaman,Exporters
9,RC Fitness Wear,"

03327777104, 03327777104 
",https://rcfitnesswear.com,Sialkot,Exporters
10,Standard trading international commodities ,"

00923113259170, 00923113259170 
",http://www.stic.asia,Karachi,Exporters
11,AL Majid  Co,"

03134956384, 0313-4956384 
",,Lahore,Exporters
12,Fine Lift Engineering Works,"

0333-4301442, 0300-4755511 
",http://finelifts.net,Lahore,Exporters
13,Rayyan Company,"

+923002192426, +923213897663 
",http://rayyan-company.business.site,Karachi,Exporters
14,Herbyzone Private Limited,"

+923334120090, +4237502224 
",http://www.herbyzone.com/our-products,Lahore,Exporters
15,Pak Machinery Pvt Ltd,"

03332283898, 03033892511 
",https://pakmachinery.com,Karachi,Exporters
16,H surgicals,"

00923056209539, 00923056209539 
",,Sialkot,Exporters
17,Bhinder Surgical Company Pvt Ltd.,"

+92523252429, +92523252429 
",https://www.bhinder-group.com,Sialkot,Exporters
18,K K Enterprises Ship Chandler Karachi,"

+92 3433030403, +92 3332257209 
",http://kkenterprises.com.pk,Karachi,Exporters
19,Woven Labels - FREE Physical Samples - No Minimum Quantitiy,"

03154567886, 03154567886 
",,Lahore,Exporters
20,firdousfashion.com,"

03363470711, 03363470711 
",http://firdousfashion.com/,Karachi,Exporters
21,Faun Traders,"

+923454545815, 0345-4545815 
",http://www.fauntraders.com/,Lahore,Exporters
22,HAROON TRADERS,"

0321-2778947, 0213-2003004 
",http://haroontraders.cf/,Karachi,Exporters
23,Champion Mango,"

+923212290228, +92616771500 
",http://www.championmango.com,Karachi,Exporters
24,Eastern Commodities,"

03218911899, 03218911899 
",https://ecmine.com,Karachi,Exporters
25,Ali Wahab Cotton Traders,"

03216861444, 0321-686-1444  
",,Lahore,Exporters
26,eZone Pakistan,"

+92 341 5666660,  052 3552014 
",http://ezone.pk/,Sialkot,Exporters
27,Balance Logistics  Relocation Movers And Packers Lahore - Karachi - Islamabad Pakistan,"

03464419593, 03464419593 
",http://www.balancelog.com.pk,Lahore,Exporters
28,K.M Corporation,"

3217497665, 055-6816363 
",https://www.kmrice.pk,Kamoke,Exporters
29,Shah Logistics  Cargo Services,"

0345-3331148, 0301-8280321 
",,Karachi,Exporters
30,ABCO INDUSTRIES LIMITED,"

0345-8239223, 02134392414 
",www.abco.com.pk,Karachi,Exporters
31,IMEXPO CORPORATION,"

, 04237220445 
",,Lahore,Exporters
32,SILICON INTERNATIONAL,"

0300-9253678, 02135682776 
",www.silcon.pk,Karachi,Exporters
33,RAJCO,"

0300-7058795, 02132735457 
",www.rajco.pk.com,Karachi,Exporters
34,ZIA TRADING CORPORATION,"

, 02132424565 
",,Karachi,Exporters
35,ABDUL RAUF ABDUL AZIZ,"

0300-8239768, 02132275688 
",www.raufaziz.com,Karachi,Exporters
36,DADACOM INTERNATIONAL,"

0300-8245335, 02134535014 
",,Karachi,Exporters
37,SAMEER CORPORATION,"

, 02132423717 
",,Karachi,Exporters
38,KASHIF ENTERPRISES,"

0303-6207185, 02136631929 
",,Karachi,Exporters
39,T.Y. BILWANI,"

, 02134941115 
",,Karachi,Exporters
40,AL-FAISAL INTERNATIONAL,"

, 0222619856 
",,Hyderabad,Exporters
41,Boldica Sports,"

03484997851, 0523304383 
",https://www.boldicasports.com,Sialkot,Exporters
42,Boldica Sports,"

03484997851, 0523304383 
",https://www.boldicasports.com,Sialkot,Exporters
43,Manufacturer & Exporter of Surgical Instruments,"

0332-8472784, 0336-555-2020 
",https://www.facebook.com/timesmedicalofficial/,Sialkot,Exporters
44,Deerborn Industries,"

923006151416, 923006151416 
",https://www.dbind.us,Sialkot,Exporters
45,Universal Freight Systems (Pvt) Ltd,"

+92 305 893 8667, +92 334 187 3340 
",https://www.ufs.com.pk,Islamabad,Exporters
46,Al Almas Corporation,"

, +922135121206 
",,Karachi,Exporters
47,SumRaf International Pvt Ltd,"

+92 321 4281518, +92 321 4281518 
",http://www.saaltee.com,Lahore,Exporters
48,dura gear international,"

923006279180, 923006279180 
",https://www.duragearintl.com,Sialkot,Exporters
49,Asif Brothers Corporation,"

0333-7750710, 0826-612490 
",,Chaman,Exporters
50,RC Fitness Wear,"

03327777104, 03327777104 
",https://rcfitnesswear.com,Sialkot,Exporters
51,Standard trading international commodities ,"

00923113259170, 00923113259170 
",http://www.stic.asia,Karachi,Exporters
52,AL Majid  Co,"

03134956384, 0313-4956384 
",,Lahore,Exporters
53,Fine Lift Engineering Works,"

0333-4301442, 0300-4755511 
",http://finelifts.net,Lahore,Exporters
54,Rayyan Company,"

+923002192426, +923213897663 
",http://rayyan-company.business.site,Karachi,Exporters
55,Herbyzone Private Limited,"

+923334120090, +4237502224 
",http://www.herbyzone.com/our-products,Lahore,Exporters
56,Pak Machinery Pvt Ltd,"

03332283898, 03033892511 
",https://pakmachinery.com,Karachi,Exporters
57,H surgicals,"

00923056209539, 00923056209539 
",,Sialkot,Exporters
58,Bhinder Surgical Company Pvt Ltd.,"

+92523252429, +92523252429 
",https://www.bhinder-group.com,Sialkot,Exporters
59,K K Enterprises Ship Chandler Karachi,"

+92 3433030403, +92 3332257209 
",http://kkenterprises.com.pk,Karachi,Exporters
60,Woven Labels - FREE Physical Samples - No Minimum Quantitiy,"

03154567886, 03154567886 
",,Lahore,Exporters
61,firdousfashion.com,"

03363470711, 03363470711 
",http://firdousfashion.com/,Karachi,Exporters
62,Faun Traders,"

+923454545815, 0345-4545815 
",http://www.fauntraders.com/,Lahore,Exporters
63,HAROON TRADERS,"

0321-2778947, 0213-2003004 
",http://haroontraders.cf/,Karachi,Exporters
64,Champion Mango,"

+923212290228, +92616771500 
",http://www.championmango.com,Karachi,Exporters
65,Eastern Commodities,"

03218911899, 03218911899 
",https://ecmine.com,Karachi,Exporters
66,Ali Wahab Cotton Traders,"

03216861444, 0321-686-1444  
",,Lahore,Exporters
67,eZone Pakistan,"

+92 341 5666660,  052 3552014 
",http://ezone.pk/,Sialkot,Exporters
